Variable,Mean,SD,Min,Max
gdp_growth,2.9334860283491353,4.220742906603576,-32.81728241610793,29.902998544979198
inflation,3.2472377123983223,2.313693104761552,-1.5950718979812706,11.596345249408202
rate,4.797162849872773,3.611535284222041,0.060000000000000005,17.78
